Linha;Erro;Conteúdo
4101;Colunas incorretas (3 de 1);MATO GROSSO;CAMPO NOVO DO PARECIS;INSTITUTO FEDERAL DE EDUCAÇÃO; CIÊNCIA E TECNOLOGIA DE MATO GROSSO;IFCT;Instituto Federal de Educação; Ciência e Tecnologia;Pública Federal;AGRONOMIA;AGRONOMIA;Presencial;Bacharelado;233;272;223;225;175;378;319;332;323
4115;Colunas incorretas (3 de 1);TOCANTINS;PALMAS;INSTITUTO FEDERAL DE EDUCAÇÃO; CIÊNCIA E TECNOLOGIA DO TOCANTINS;IFCT;Instituto Federal de Educação; Ciência e Tecnologia;Pública Federal;SISTEMAS PARA INTERNET;SISTEMAS PARA INTERNET;Presencial;Tecnológico;147;132;130;156;198;213;220;200;328
4137;Colunas incorretas (3 de 1);BAHIA;VITÓRIA DA CONQUISTA;INSTITUTO FEDERAL DE EDUCAÇÃO; CIÊNCIA E TECNOLOGIA DA BAHIA;IFCT;Instituto Federal de Educação; Ciência e Tecnologia;Pública Federal;SISTEMAS DE INFORMAÇÃO;SISTEMAS DE INFORMAÇÃO;Presencial;Bacharelado;162;131;191;209;198;224;253;262;315
4213;Colunas incorretas (3 de 1);PARANÁ;CURITIBA;UNIVERSIDADE CESUMAR;UNICESUMAR;Universidade;Privada com fins lucrativos ;ESTETICA; COSMETICA; BELEZA E IMAGEM PESSOAL;ESTÉTICA E COSMÉTICA;EaD;Tecnológico;;;;;;102;171;291;345
4307;Colunas incorretas (3 de 1);MINAS GERAIS;JUIZ DE FORA;INSTITUTO FEDERAL DE EDUCAÇÃO; CIÊNCIA E TECNOLOGIA DO SUDESTE DE MINAS GERAIS;IFCT;Instituto Federal de Educação; Ciência e Tecnologia;Pública Federal;ENGENHARIA MECATRÔNICA;ENGENHARIA MECATRÔNICA;Presencial;Bacharelado;346;403;409;443;406;390;357;308;357
4348;Colunas incorretas (2 de 1);RONDÔNIA;COLORADO DO OESTE;INSTITUTO FEDERAL DE EDUCAÇÃO CIÊNCIA E TECNOLOGIA DE RONDÔNIA;IFCT;Instituto Federal de Educação; Ciência e Tecnologia;Pública Federal;AGRONOMIA;AGRONOMIA;Presencial;Bacharelado;255;325;366;394;394;384;361;381;336
4443;Colunas incorretas (3 de 1);RIO DE JANEIRO;RIO DE JANEIRO;INSTITUTO FEDERAL DE EDUCAÇÃO; CIÊNCIA E TECNOLOGIA DO RIO DE JANEIRO;IFCT;Instituto Federal de Educação; Ciência e Tecnologia;Pública Federal;TERAPIA OCUPACIONAL;TERAPIA OCUPACIONAL;Presencial;Bacharelado;210;204;209;254;247;268;253;271;314
4492;Colunas incorretas (3 de 1);AMAZONAS;MANAUS;INSTITUTO FEDERAL DE EDUCAÇÃO; CIÊNCIA E TECNOLOGIA  DO AMAZONAS;IFCT;Instituto Federal de Educação; Ciência e Tecnologia;Pública Federal;PEDAGOGIA;PEDAGOGIA;EaD;Licenciatura;;;;;26;25;53;;
4556;Colunas incorretas (3 de 1);SANTA CATARINA;FLORIANÓPOLIS;INSTITUTO FEDERAL DE EDUCAÇÃO; CIÊNCIA E TECNOLOGIA  DE SANTA CATARINA;IFCT;Instituto Federal de Educação; Ciência e Tecnologia;Pública Federal;ENGENHARIA MECATRÔNICA;ENGENHARIA MECATRÔNICA;Presencial;Bacharelado;142;212;278;300;302;326;334;382;308
4583;Colunas incorretas (2 de 1);CEARÁ;FORTALEZA;RATIO - FACULDADE TEOLÓGICA E FILOSÓFICA;RATIO;Faculdade;Privada com fins lucrativos ;OFTÁLMICA; OPTOMETRIA E ORTÓPTICA;OPTOMETRIA;Presencial;Tecnológico;;;;72;144;199;252;291;305
4610;Colunas incorretas (3 de 1);CEARÁ;FORTALEZA;INSTITUTO FEDERAL DE EDUCAÇÃO; CIÊNCIA E TECNOLOGIA DO CEARÁ;IFCT;Instituto Federal de Educação; Ciência e Tecnologia;Pública Federal;ENGENHARIA CIVIL;ENGENHARIA CIVIL;Presencial;Bacharelado;119;186;244;278;294;310;316;313;306
